category_id,club_id,start_date,end_date,nbr_participants
70,252,3/9/2020,13/09/2020,2
71,252,3/9/2020,13/09/2020,2
72,252,3/9/2020,13/09/2020,3
73,252,3/9/2020,13/09/2020,3
74,252,3/9/2020,13/09/2020,7
79,252,3/9/2020,13/09/2020,0
80,252,3/9/2020,13/09/2020,0
81,252,3/9/2020,13/09/2020,0
82,252,3/9/2020,13/09/2020,0
36,252,3/9/2020,13/09/2020,5
87,252,3/9/2020,13/09/2020,4
108,252,3/9/2020,13/09/2020,0
109,252,3/9/2020,13/09/2020,9
110,252,3/9/2020,13/09/2020,7
111,252,3/9/2020,13/09/2020,10
133,252,3/9/2020,13/09/2020,2
134,252,3/9/2020,13/09/2020,3
135,252,3/9/2020,13/09/2020,7
156,252,3/9/2020,13/09/2020,3
157,252,3/9/2020,13/09/2020,2
158,252,3/9/2020,13/09/2020,3
159,252,3/9/2020,13/09/2020,9
7,195,13/08/2020,23/08/2020,24
8,195,13/08/2020,23/08/2020,16
9,195,13/08/2020,23/08/2020,16
10,195,13/08/2020,23/08/2020,24
11,195,13/08/2020,23/08/2020,32
65,195,13/08/2020,23/08/2020,11
66,195,13/08/2020,23/08/2020,12
67,195,13/08/2020,23/08/2020,20
15,195,13/08/2020,23/08/2020,10
16,195,13/08/2020,23/08/2020,8
17,195,13/08/2020,23/08/2020,6
18,195,13/08/2020,23/08/2020,16
36,195,13/08/2020,23/08/2020,8
38,195,13/08/2020,23/08/2020,10
87,195,13/08/2020,23/08/2020,7
89,195,13/08/2020,23/08/2020,7
109,195,13/08/2020,23/08/2020,16
110,195,13/08/2020,23/08/2020,16
111,195,13/08/2020,23/08/2020,16
157,195,13/08/2020,23/08/2020,10
158,195,13/08/2020,23/08/2020,10
159,195,13/08/2020,23/08/2020,14
7,252,10/1/2020,19/01/2020,14
8,252,10/1/2020,19/01/2020,10
9,252,10/1/2020,19/01/2020,14
10,252,10/1/2020,19/01/2020,20
11,252,10/1/2020,19/01/2020,19
64,252,10/1/2020,19/01/2020,7
65,252,10/1/2020,19/01/2020,12
66,252,10/1/2020,19/01/2020,6
67,252,10/1/2020,19/01/2020,9
16,252,10/1/2020,19/01/2020,8
17,252,10/1/2020,19/01/2020,16
18,252,10/1/2020,19/01/2020,14
73,252,10/1/2020,19/01/2020,6
109,252,10/1/2020,19/01/2020,7
110,252,10/1/2020,19/01/2020,6
135,252,10/1/2020,19/01/2020,5
159,252,10/1/2020,19/01/2020,8
7,120,10/9/2020,20/09/2020,29
8,120,10/9/2020,20/09/2020,29
9,120,10/9/2020,20/09/2020,38
10,120,10/9/2020,20/09/2020,36
11,120,10/9/2020,20/09/2020,83
