tournament_id,date,status,round
1392,29/08/2020,completed,1_2
1411,29/08/2020,completed,1_2
1392,27/08/2020,completed,1_4
1411,25/08/2020,completed,1_4
3677,18/08/2020,completed,1_8
3715,18/07/2020,retirement,1_2
3715,17/07/2020,completed,1_4
3714,12/7/2020,completed,1_8
3702,4/7/2020,completed,1_2
3702,3/7/2020,completed,1_4
3740,3/9/2020,completed,1_2
3740,29/08/2020,completed,1_4
3676,22/08/2020,completed,1_2
3676,19/08/2020,completed,1_4
3793,31/07/2020,retirement,1_2
3793,29/07/2020,completed,1_4
3714,18/07/2020,completed,1_2
3714,16/07/2020,completed,1_4
3701,,WO,1_8
3753,31/08/2020,completed,final
3822,27/08/2020,completed,1_8
3831,15/08/2020,completed,1_8
3868,5/7/2020,completed,1_4
3820,29/08/2020,completed,1_2
3820,23/08/2020,completed,1_8
3678,19/08/2020,completed,1_4
3888,6/8/2020,completed,1_2
3888,3/8/2020,completed,1_4
3917,26/12/2019,completed,1_4
3820,,WO,1_4
3937,15/09/2020,completed,1_4
3965,12/9/2020,completed,1_2
3965,6/9/2020,completed,1_4
3739,30/08/2020,completed,1_4
3979,28/08/2020,completed,1_2
3979,24/08/2020,completed,1_4
3994,16/08/2020,completed,final
3994,15/08/2020,completed,1_2
3994,14/08/2020,completed,1_4
3896,7/8/2020,completed,1_2
4018,6/8/2020,completed,1_4
4018,2/8/2020,completed,1_8
3896,31/07/2020,completed,1_4
3792,26/07/2020,completed,1_2
4044,21/07/2020,completed,1_4
3711,19/07/2020,completed,final
3725,11/7/2020,completed,1_2
3725,9/7/2020,completed,1_4
3700,27/06/2020,completed,1_16
387,1/2/2020,completed,1_2
387,27/01/2020,completed,1_4
373,26/01/2020,completed,1_8
166,28/10/2019,completed,1_4
3991,,WO,1_8
3711,,WO,1_2
3677,22/08/2020,completed,1_2
3677,20/08/2020,retirement,1_4
3691,18/07/2020,completed,1_2
3691,13/07/2020,completed,1_4
3726,12/7/2020,completed,final
3726,11/7/2020,completed,1_2
3710,13/07/2020,completed,1_8
1394,28/08/2020,completed,1_4
1394,26/08/2020,completed,1_8
1877,20/07/2020,retirement,1_32
3709,17/07/2020,completed,1_4
3709,15/07/2020,completed,1_8
3710,15/07/2020,completed,1_4
3710,12/7/2020,completed,1_8
3696,28/06/2020,completed,1_32
3889,6/8/2020,completed,1_2
3712,12/7/2020,completed,1_2
3724,5/7/2020,completed,1_16
3889,,WO,1_4
3675,21/08/2020,completed,1_8
3674,18/08/2020,completed,1_8
3674,17/08/2020,completed,1_16
